accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,GE100,IS	: 	: 	: 	: 	: 	50.6 	50.2 	46 
BEDPL,PC,GE100,LT	50.8 	48.7 	50.3 	48.2 	43.5 	45.2 	45.7 	43.8 
BEDPL,PC,GE100,LV	55.9 	58.7 	52.63 	49.2 	48.3 	49.8 	45.4 	43.5 
BEDPL,PC,GE100,MT	68.1 	70.1 	68.2 	66.9 	66.9 	66.5 	62.8 	58.4 
BEDPL,PC,GE100,NO	: 	: 	: 	41.3 	40.7 	39.2 	38.6 	39.7 
BEDPL,PC,GE100,PL	59.2 	58.2 	59.4 	59.5 	55.5 	50.5 	52.6 	48.3 
BEDPL,PC,GE100,RO	: 	: 	: 	: 	: 	31 	29.7 	30.3 
BEDPL,PC,GE100,SE	51 	52 	51.65 	51.15 	48.69 	45 	43.8 	43.5 
BEDPL,PC,GE100,UK	: 	: 	: 	55.7 	55.2 	: 	53.7 	: 
BEDPL,PC,GE250,BG	50.9 	51.9 	52 	52.3 	48.4 	49.9 	53 	51.9 
BEDPL,PC,GE250,CY	74.5 	79.6 	82.3 	77 	71.9 	66.5 	: 	: 
BEDPL,PC,GE250,CZ	61.8 	59.2 	60 	55 	52.5 	51.7 	51.4 	52.4 
BEDPL,PC,GE250,DE	54.67 	54.35 	53.74 	52.64 	52.58 	51.6 	50.6 	48.6 
BEDPL,PC,GE250,EA	62.3 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,GE250,EL	: 	67.8 	67.9 	64.8 	63.7 	61.9 	58.3 	56.9 
BEDPL,PC,GE250,ES	72.82 	74.41 	76.4 	76.35 	72.92 	71.4 	70.3 	68.9 
BEDPL,PC,GE250,EU27_2007	61.51 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,GE250,EU27_2020	61.92 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,GE250,EU28	61.92 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,GE250,HR	71.6 	69.4 	70.5 	64 	60.8 	60 	58.8 	62.1 
BEDPL,PC,GE250,HU	53.2 	53 	52.7 	50.5 	48.1 	47.3 	: 	: 
BEDPL,PC,GE250,IS	: 	: 	: 	: 	: 	61.5 	58.4 	53 
BEDPL,PC,GE250,LT	42.2 	40.9 	45.7 	46.6 	44.9 	44.3 	43.2 	42.6 
BEDPL,PC,GE250,LV	53.4 	55.4 	50.89 	43.8 	: c	: c	: 	: c
BEDPL,PC,GE250,MT	69.6 	70.8 	68.8 	68.4 	66.1 	65.6 	61.1 	59.7 
BEDPL,PC,GE250,NO	: 	: 	: 	38.6 	39.5 	39 	38.6 	40.2 
BEDPL,PC,GE250,PL	59.3 	58.1 	59.6 	58.2 	56.5 	51.5 	54.5 	50.8 
BEDPL,PC,GE250,RO	: 	: 	: 	: 	: 	32.4 	31.1 	31.9 
BEDPL,PC,GE250,SE	56 	55 	54.45 	53.96 	52.53 	50 	48 	48.7 
BEDPL,PC,GE250,UK	: 	: 	: 	55.3 	55.2 	: 	53.7 	: 
BEDPL,PC,LT25,BG	19.3 	18.4 	18.1 	17.5 	16.2 	16.5 	16.6 	16.3 
BEDPL,PC,LT25,CY	36.7 	39.3 	38.5 	35.7 	31 	33.6 	: 	: 
BEDPL,PC,LT25,CZ	41.9 	41.8 	40.6 	36.4 	22.7 	21.3 	22.1 	22.1 
BEDPL,PC,LT25,DE	33.54 	33.41 	32.97 	32.18 	31.05 	30.1 	29.3 	28.9 
BEDPL,PC,LT25,EA	34.29 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,LT25,EL	: 	27 	26 	24.5 	24.6 	24.4 	23.3 	21.9 
BEDPL,PC,LT25,ES	35.47 	33.95 	34.15 	33.21 	30.65 	27 	25.2 	24.9 
BEDPL,PC,LT25,EU27_2007	34.58 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,LT25,EU27_2020	34.83 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,LT25,EU28	34.83 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,LT25,HR	40.8 	40.7 	40.2 	37.8 	36.9 	36.1 	35.3 	34 
BEDPL,PC,LT25,HU	24 	23.7 	22.7 	21.3 	19.6 	18.6 	: 	: 
BEDPL,PC,LT25,IS	: 	: 	: 	: 	: 	33.4 	27.3 	28.3 
BEDPL,PC,LT25,LT	30.1 	28.1 	25 	23 	19.7 	24 	25.6 	23.2 
BEDPL,PC,LT25,LV	21.3 	20.5 	18.74 	17.5 	17.7 	20.7 	18.9 	22.3 
BEDPL,PC,LT25,MT	43.7 	43.5 	35.8 	33 	29.1 	26.8 	28.9 	24.1 
BEDPL,PC,LT25,NO	: 	: 	: 	24.3 	23.5 	21.9 	20.4 	21.7 
BEDPL,PC,LT25,PL	40.7 	39.9 	38.8 	37.5 	35.7 	33.9 	32.8 	32.3 
BEDPL,PC,LT25,RO	: 	: 	: 	: 	: 	26.8 	27.3 	29.1 
BEDPL,PC,LT25,SE	31 	32 	33 	32.18 	29.45 	27.3 	26.1 	25.2 
BEDPL,PC,LT25,UK	: 	: 	: 	41 	39.9 	: 	38 	: 
BEDPL,PC,TOTAL,AT	48 	48 	47 	41 	40 	28.3 	28.3 	28.3 
BEDPL,PC,TOTAL,BE	0.46 	0.45 	0.44 	40 	44.02 	: c	40.4 	39.8 
BEDPL,PC,TOTAL,BG	42.1 	42.3 	42 	41.5 	37 	37.8 	39.5 	38.8 
BEDPL,PC,TOTAL,CH	: 	: 	: 	41.6 	41.7 	42.2 	41.9 	40.8 
BEDPL,PC,TOTAL,CY	71.8 	74.4 	76.4 	71.3 	65.3 	61.6 	63 	64.5 
BEDPL,PC,TOTAL,CZ	50.9 	50 	49.9 	46.5 	36.2 	35.2 	34.8 	34.8 
BEDPL,PC,TOTAL,DE	45.71 	45.33 	44.8 	43.86 	42.99 	41.8 	40.6 	39.9 
BEDPL,PC,TOTAL,DK	48 	48 	48 	48 	47 	44 	42 	40 
BEDPL,PC,TOTAL,EA	49.55 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,TOTAL,EE	48 	47 	48 	47 	44 	44 	45 	45 
BEDPL,PC,TOTAL,EL	: 	53.6 	52.8 	50.1 	49.1 	47.3 	45.2 	43.2 
BEDPL,PC,TOTAL,ES	61.48 	61.69 	62.62 	61.34 	58.08 	55.7 	54.1 	53 
